path	input_line	kind	declaration	target_visibility
CapGame/Affine.lean	55	theorem	cap_empty	private
CapGame/Affine.lean	58	theorem	cap_singleton	private
CapGame/Affine.lean	129	theorem	collinear_affineEquiv	private
CapGame/Affine.lean	138	theorem	cap_image_affineEquiv	private
CapGame/Affine.lean	150	theorem	mem_of_image_eq_self	private
CapGame/Affine.lean	156	theorem	mem_iff_of_image_eq_self	private
CapGame/Affine.lean	165	theorem	no_old_point_on_mirror_line	private
CapGame/Affine.lean	198	theorem	collinear_midpoint_left	private
CapGame/Affine.lean	206	theorem	mirror_move_legal	private
CapGame/Affine.lean	288	theorem	mirrorGood_step	private
CapGame/Affine.lean	323	theorem	isP_of_mirrorGood	private
CapGame/BuildGame.lean	375	theorem	move_map	private
CapGame/BuildGame.lean	427	theorem	isP_map	private
CapGame/Mirror.lean	50	theorem	mirrorInvariant_insert_pair	private
ProjectiveCap/Binary.lean	32	theorem	binary_mk_rep	private
ProjectiveCap/Binary.lean	120	theorem	mem_binaryRepFinset	private
ProjectiveCap/Binary.lean	144	theorem	rep_mem_binaryRepFinset	private
ProjectiveCap/ConicLocalization.lean	85	theorem	mem_nonzeroParams	private
ProjectiveCap/ConicLocalization.lean	89	theorem	card_nonzeroParams	private
ProjectiveCap/ConicLocalization.lean	119	theorem	hyperbolaDenom_ne_zero_of_not_collinear	private
ProjectiveCap/ConicLocalization.lean	134	theorem	hyperbolaDenom_ne_zero_of_gridCap_triple	private
ProjectiveCap/ConicLocalization.lean	142	theorem	hyperbolaTriple_linear_b	private
ProjectiveCap/ConicLocalization.lean	153	theorem	hyperbolaTriple_linear_c	private
ProjectiveCap/ConicLocalization.lean	164	theorem	onHyperbola_pair_linear	private
ProjectiveCap/ConicLocalization.lean	173	theorem	hyperbolaCenter_eq_of_linear	private
ProjectiveCap/ConicLocalization.lean	202	theorem	hyperbolaParams_eq_of_fits_triple	private
ProjectiveCap/ConicLocalization.lean	221	theorem	onHyperbola_hyperbolaOfTriple_a	private
ProjectiveCap/ConicLocalization.lean	229	theorem	onHyperbola_hyperbolaOfTriple_b	private
ProjectiveCap/ConicLocalization.lean	240	theorem	onHyperbola_hyperbolaOfTriple_c	private
ProjectiveCap/ConicLocalization.lean	251	theorem	hyperbolaFits_triple	private
ProjectiveCap/ConicLocalization.lean	295	theorem	onAffine_iff_onHyperbola	private
ProjectiveCap/ConicLocalization.lean	342	theorem	hyperbolaFits_card_three_B_ne_zero	private
ProjectiveCap/ConicLocalization.lean	410	theorem	hyperbolaNormalFormStatement	private
ProjectiveCap/ConicLocalization.lean	432	theorem	hyperbolaConic_nondegenerate	private
ProjectiveCap/ConicLocalization.lean	437	theorem	burnedDirectionConic_eq_hyperbolaConic_of_params	private
ProjectiveCap/ConicLocalization.lean	452	theorem	uniqueConicThroughFiveArcStatement_of_hyperbolaNormalFormStatement	private
ProjectiveCap/ConicLocalization.lean	473	theorem	uniqueConicThroughFiveArcStatement	private
ProjectiveCap/ConicLocalization.lean	509	theorem	mem_onConicEscapeExtensions	private
ProjectiveCap/ConicLocalization.lean	517	theorem	mem_onConicBadExtensions	private
ProjectiveCap/ConicLocalization.lean	525	theorem	onConicLegalExtensions_card_eq_escape_add_bad	private
ProjectiveCap/ConicLocalization.lean	586	theorem	hyperbolaParamPoint_onHyperbola	private
ProjectiveCap/ConicLocalization.lean	604	theorem	onHyperbola_second_ne_A	private
ProjectiveCap/ConicLocalization.lean	632	theorem	onHyperbola_iff_exists_param	private
ProjectiveCap/ConicLocalization.lean	644	theorem	hyperbolaCells_eq_image_nonzeroParams	private
ProjectiveCap/ConicLocalization.lean	671	theorem	colSparse_hyperbolaCells	private
ProjectiveCap/ConicLocalization.lean	697	theorem	partialPermutation_hyperbolaCells	private
ProjectiveCap/ConicLocalization.lean	702	theorem	not_collinear_hyperbolaParamPoint	private
ProjectiveCap/ConicLocalization.lean	728	theorem	affineCap_hyperbolaCells	private
ProjectiveCap/ConicLocalization.lean	750	theorem	gridCap_hyperbolaCells_and_card	private
ProjectiveCap/ConicLocalization.lean	760	theorem	onConicLegalExtensionCountStatement	private
ProjectiveCap/ConicLocalization.lean	792	theorem	onConicLegalExtensions_eq_filter_notMem	private
ProjectiveCap/ConicLocalization.lean	809	theorem	card_onConicLegalExtensions	private
ProjectiveCap/ConicLocalization.lean	820	theorem	odd_card_onConicLegalExtensions	private
ProjectiveCap/ConicLocalization.lean	833	theorem	onConicEscapeExtensions_nonempty_of_even_bad	private
ProjectiveCap/ConicLocalization.lean	850	theorem	hyperbola_center_secant_collinear	private
ProjectiveCap/ConicLocalization.lean	929	theorem	oddHyperbolaMaximalStatement	private
ProjectiveCap/ConicLocalization.lean	944	theorem	psi_involutive	private
ProjectiveCap/ConicLocalization.lean	954	theorem	psi_onHyperbola_iff	private
ProjectiveCap/ConicLocalization.lean	971	theorem	psi_hyperbolaParamPoint	private
ProjectiveCap/ConicLocalization.lean	980	theorem	psi_hyperbolaParamPoint_fixed_iff_param_mul	private
ProjectiveCap/ConicLocalization.lean	1000	theorem	eq_param_mul_of_psi_fixed_onHyperbola	private
ProjectiveCap/ConicLocalization.lean	1030	theorem	psi_fixed_onHyperbola_iff_param_mul	private
ProjectiveCap/ConicLocalization.lean	1057	theorem	psi_ne_self_of_onHyperbola_of_param_mul_ne	private
ProjectiveCap/ConicLocalization.lean	1066	theorem	psi_bijective	private
ProjectiveCap/ConicLocalization.lean	1071	theorem	psi_first_eq_iff	private
